graph_id,algorithm,vertices,edges,total_cost,operations_count,execution_time_ms,mst_edge_count,mst_edges
24,Prim,16,15,225.0,60,0.0,15,0-1(8); 1-2(9); 2-3(10); 3-4(11); 4-5(12); 5-6(13); 6-7(14); 7-8(15); 8-9(16); 9-10(17); 10-11(18); 11-12(19); 12-13(20); 13-14(21); 14-15(22)
24,Kruskal,16,15,225.0,30,0.0,15,0-1(8); 1-2(9); 2-3(10); 3-4(11); 4-5(12); 5-6(13); 6-7(14); 7-8(15); 8-9(16); 9-10(17); 10-11(18); 11-12(19); 12-13(20); 13-14(21); 14-15(22)
25,Prim,16,15,240.0,60,0.0,15,0-1(9); 1-2(10); 2-3(11); 3-4(12); 4-5(13); 5-6(14); 6-7(15); 7-8(16); 8-9(17); 9-10(18); 10-11(19); 11-12(20); 12-13(21); 13-14(22); 14-15(23)
25,Kruskal,16,15,240.0,30,0.0,15,0-1(9); 1-2(10); 2-3(11); 3-4(12); 4-5(13); 5-6(14); 6-7(15); 7-8(16); 8-9(17); 9-10(18); 10-11(19); 11-12(20); 12-13(21); 13-14(22); 14-15(23)
26,Prim,16,15,255.0,60,0.0,15,0-1(10); 1-2(11); 2-3(12); 3-4(13); 4-5(14); 5-6(15); 6-7(16); 7-8(17); 8-9(18); 9-10(19); 10-11(20); 11-12(21); 12-13(22); 13-14(23); 14-15(24)
26,Kruskal,16,15,255.0,30,0.0,15,0-1(10); 1-2(11); 2-3(12); 3-4(13); 4-5(14); 5-6(15); 6-7(16); 7-8(17); 8-9(18); 9-10(19); 10-11(20); 11-12(21); 12-13(22); 13-14(23); 14-15(24)
27,Prim,16,15,270.0,60,0.0,15,0-1(11); 1-2(12); 2-3(13); 3-4(14); 4-5(15); 5-6(16); 6-7(17); 7-8(18); 8-9(19); 9-10(20); 10-11(21); 11-12(22); 12-13(23); 13-14(24); 14-15(25)
27,Kruskal,16,15,270.0,30,0.0,15,0-1(11); 1-2(12); 2-3(13); 3-4(14); 4-5(15); 5-6(16); 6-7(17); 7-8(18); 8-9(19); 9-10(20); 10-11(21); 11-12(22); 12-13(23); 13-14(24); 14-15(25)
28,Prim,16,15,285.0,60,0.0,15,0-1(12); 1-2(13); 2-3(14); 3-4(15); 4-5(16); 5-6(17); 6-7(18); 7-8(19); 8-9(20); 9-10(21); 10-11(22); 11-12(23); 12-13(24); 13-14(25); 14-15(26)
28,Kruskal,16,15,285.0,30,0.0,15,0-1(12); 1-2(13); 2-3(14); 3-4(15); 4-5(16); 5-6(17); 6-7(18); 7-8(19); 8-9(20); 9-10(21); 10-11(22); 11-12(23); 12-13(24); 13-14(25); 14-15(26)
